Time(Iteration),EpsilonGreedyLinearBandit,EpsilonGreedyMultiArmedBandit
0,0.28712096262796954,0.4187874900973364
1,0.6495089561558938,0.7136010713396103
2,0.9678503471617658,0.9656264247985357
3,1.3022251114380345,1.252919976513557
4,1.574189572500337,1.5182568786055985
5,1.8083345919234048,1.6911570132537033
6,2.0597650967093157,1.870675723819431
7,2.3191519903834132,2.0509837732508087
8,2.522706375182546,2.3331440609257332
9,2.802927799272477,2.6214006301741364
10,3.066441446866466,2.9532668860958586
11,3.278777350591059,3.333480539960667
12,3.463269732044794,3.5839020790212905
13,3.7657783784695176,3.879123937949059
14,3.928859763265404,4.117402876329091
15,4.201836127627084,4.306619313123337
16,4.404476377305028,4.536041849462642
17,4.5609011183525725,4.667354632481433
18,4.774452898711151,4.828712363728941
19,4.896274742683016,5.081950764052404
20,5.05221462985978,5.313580501557232
21,5.22408597147936,5.490723387983111
22,5.424137319892564,5.597671663624484
23,5.585804953512667,5.734899105920128
24,5.734143014239527,5.8760235414474185
25,5.997647237536893,6.042180631594244
26,6.134838703281413,6.252446375964205
27,6.266377590935092,6.399155718727053
28,6.571890198100223,6.552966427540288
29,6.752545878738756,6.749775638721279
30,6.9924191040651325,6.9052281430466
31,7.118834260613194,7.100917556241984
32,7.270450421840553,7.430451323491257
33,7.451184234024259,7.590456021101682
34,7.491787367800425,7.810959651783105
35,7.623921204578137,7.901640279684955
36,7.664524338354303,8.020122201618117
37,7.795982291085915,8.26716676016596
38,7.9883545723063225,8.406443960366815
39,8.172485874023451,8.5385923709982
40,8.500616835086932,8.682948932472344
41,8.606887883812792,8.776252958823278
42,8.705705068495828,8.928082293143966
43,8.84667358806141,8.987352459714351
44,8.887276721837576,9.19006122719178
45,9.04265252221526,9.377050917204622
46,9.118295930086628,9.523273649839874
47,9.290248095138775,9.710437377000432
48,9.489961073265757,9.848016477327574
49,9.614412033213359,9.983229842667248
50,9.801249464455791,10.067222336239578
51,10.094983846794795,10.179359664449755
52,10.259882568089328,10.346060075455387
53,10.395960886046115,10.47985609060763
54,10.51221244155699,10.681690050706838
55,10.66761295570524,10.738201153191657
56,10.80673625197237,10.755975605310521
57,10.902395919399806,10.850701375035596
58,11.079557737780894,10.991159861079282
59,11.220668084603185,11.111276462316189
60,11.292946686015338,11.299402132595683
61,11.419549068758593,11.414449184298366
