Time(Iteration),EpsilonGreedyLinearBandit,EpsilonGreedyMultiArmedBandit
0,0.41281552857143566,0.372765185283101
1,0.8928717000661006,0.7365689796559357
2,1.2961667148923965,1.1630056260263113
3,1.6525160321502923,1.4924894597287912
4,2.0320574825826165,1.8055331174279992
5,2.3700386546542864,2.170465148843017
6,2.640316153052771,2.4321639923923284
7,2.9568115287443635,2.756022186538675
8,3.2330932744100975,2.989799640051784
9,3.5078710859634903,3.3705606947541407
10,3.772598199928962,3.593560487739803
11,4.035024929181494,3.803999296722398
12,4.25214503825728,3.9783262823688874
13,4.475347250396652,4.312220892509938
14,4.809001053419331,4.556778407716829
15,5.0551741120609694,4.890904910945028
16,5.279720152945634,5.122332059933081
17,5.487139019224712,5.354902707013012
18,5.7631260115218215,5.551631345571633
19,6.0943015883593095,5.868770074122138
20,6.300246287998068,6.169599074250323
21,6.584364656889781,6.301963389870436
22,6.7774735515171285,6.528229364958408
23,7.02730567809696,6.631336538738251
24,7.261570701783472,6.838420906150283
25,7.518790190937945,6.991648112166763
26,7.664948993359023,7.095949613796753
27,7.8487847864636135,7.244459201402639
28,8.141053931737336,7.389007591121202
29,8.293278916818718,7.479678507845769
30,8.498439333049935,7.584599822974184
31,8.630785926806453,7.692093695120829
32,8.753286991973242,7.848965469808019
33,8.908553020192779,8.06217971980639
34,9.106605425998827,8.227100346879737
35,9.323453195663568,8.362003685966078
36,9.506887726916936,8.585036269774799
37,9.66788391865867,8.756497529532831
38,9.794484344245376,8.916294272923903
39,9.980608777351867,9.11478829675488
40,10.14263927536906,9.345013548137155
41,10.405786958555474,9.531601317105125
42,10.556653103780494,9.688892233439933
43,10.803550919765048,9.93051311566403
44,11.039989846962452,10.037282324789691
45,11.158741104908703,10.152118595881301
46,11.291087698665219,10.328122588032281
47,11.429703347321503,10.474697735310665
48,11.609115579921902,10.70599700381402
49,11.82056162784752,10.839342205908242
50,12.027159422541406,10.896718543637345
51,12.265957087853575,11.033885577116981
52,12.456337655280468,11.319522094204515
53,12.586939201425391,11.488205618588234
54,12.727436415252507,11.621424508630636
55,12.831992347399165,11.809674506792465
56,13.02232308598324,12.022029255256257
57,13.235033161926983,12.138242931750549
58,13.44725067856795,12.227306487460075
59,13.68089707900757,12.374082747778772
60,13.907297812295832,12.421734719060584
61,14.038521147228229,12.610985595372732
62,14.165965769936005,12.760357017139892
63,14.423038730388068,12.97321714329224
64,14.563628220087129,13.020869114574054
65,14.709281353474811,13.13107910887033
66,14.83608711878145,13.232222149275923
67,15.006743977434326,13.361335713068168
68,15.246955961367012,13.48717882087782
69,15.383269555276996,13.621077300139982
70,15.565884301352884,13.790270415021178
71,15.791569677153841,13.899426432947024
72,15.910900617496575,14.003700576688043
73,16.151001325467362,14.090038970283192
74,16.365113622734693,14.258249108428126
75,16.60417227316394,14.414278101398097
76,16.8038454736764,14.625477833711049
77,16.97252513674677,14.843080521151407
78,17.195957911662425,14.962457059798476
79,17.39716808195884,15.122062258766471
80,17.58334495024696,15.349030099551388
81,17.687900882393624,15.455523150685854
82,17.823083216570854,15.65392892913008
83,17.988992026136778,15.722159407598223
84,18.177576295510764,15.769253722448719
85,18.424426505850047,15.816348037299212
86,18.52898243799671,15.92724442885256
87,18.814178892552725,16.111302235839553
88,18.989757155618683,16.302460190580163
89,19.08001575411275,16.49999446013647
90,19.230182891450163,16.58175106580355
91,19.417428192197228,16.726111775581536
92,19.592918060138867,16.923452196428965
93,19.711862206366458,17.0122833813731
94,19.869562561257492,17.102708822803912
95,20.09470894286934,17.39011373214642
96,20.284820285020366,17.572805408877986
97,20.42540154709271,17.659252401804835
98,20.52995747923937,17.734590348242268
99,20.74399962335678,17.78168466309276
100,20.88458088542912,17.90638505563023
101,20.97956271159032,18.197787170353585
102,21.07531946734123,18.307468322657055
103,21.156301214896068,18.386709929751735
104,21.263517310456443,18.49886605001577
105,21.387350847673062,18.553713798502645
106,21.523797634616397,18.732599716913484
107,21.690664867538665,18.762793375463556
108,21.846376940834162,18.792987034013628
109,21.927358688389003,18.854527821566
110,22.04992389502666,18.980957905189282
111,22.129249115052943,19.011151563739354
112,22.32987015980126,19.069588853876365
113,22.550923844097447,19.208206220556654
114,22.631905591652284,19.39621419664421
115,22.804194751442818,19.45746384101528
116,22.983648052719555,19.64018351589289
117,23.334863445216232,19.757226873493366
118,23.498875841943082,19.87761524508074
119,23.67508722566595,20.02985156726475
120,23.79141360709532,20.045522532860947
121,23.96518847469686,20.097590416946666
122,24.115934396634348,20.19059851568441
123,24.22319203106849,20.190766112492362
124,24.3345105818588,20.213131266491636
125,24.48195175383218,20.312710462285285
126,24.59583487019554,20.413179733681254
127,24.789481854079092,20.468837029061525
128,24.901864492512313,20.633169008815866
129,25.178448839630356,20.6851526760063
130,25.259430587185197,20.744277687162086
131,25.364657069262975,20.791637829580576
132,25.486449718533915,20.861975864512598
133,25.640911633925366,20.880182777514783
134,25.721893381480204,21.03035583773531
135,25.87600422258813,21.081795163533428
136,26.039877935549537,21.106232166781293
137,26.19241160081316,21.10847161283784
138,26.273393348367996,21.277086595256073
139,26.388434812432457,21.30138717026541
140,26.46941655998729,21.392572987587634
141,26.65033446050952,21.47694984836425
142,26.731316208064356,21.504758519692853
143,26.87260572020086,21.504926116500805
144,27.049358650513955,21.626836950811317
145,27.18356704699202,21.690679179692317
146,27.36127082021514,21.80453478918175
147,27.497423196881037,21.952246605820502
148,27.6630808536713,22.063311343609126
149,27.84567448938729,22.11643237122201
150,27.958413898705448,22.194469966281847
151,28.18695248639948,22.196709412338393
152,28.374351889225874,22.284888005286444
153,28.48268277977088,22.35359961491909
154,28.622712499828975,22.355839060975637
155,28.775524333852236,22.50257713757272
156,28.9512839394303,22.60902589458811
157,29.102791342425434,22.69598990417039
158,29.25638116477874,22.7509793978147
159,29.350502202600744,22.753218843871245
160,29.483867349282036,22.893343712341508
161,29.689756869359503,23.003208960703315
162,29.756441283261744,23.084590797231023
163,29.87523742459343,23.14500435204756
164,30.025237514236228,23.180572028965766
165,30.194133623763463,23.312158916629343
166,30.260818037665707,23.312326513437295
167,30.440482384315004,23.574649306398456
168,30.608031652008528,23.642021270128254
169,30.79651741057456,23.6442607161848
170,31.056019671004265,23.74767968474133
171,31.237947082400957,23.78165914276666
172,31.370399631221392,23.85057932160225
173,31.498286954922367,24.047355149514907
174,31.636523286533397,24.187873594917995
175,31.78215636322829,24.326817485630386
