Time(Iteration),EpsilonGreedyLinearBandit,EpsilonGreedyMultiArmedBandit
0,0.43861987807291863,0.301168605647817
1,0.8450043200849043,0.5815595778063569
2,1.2164914210014042,0.9409878558263509
3,1.6007181850386172,1.3266485493578752
4,1.9741195407549477,1.6839221380798304
5,2.266577963530486,1.9709359911741902
6,2.504397566168822,2.327673389382322
7,2.8068811646078045,2.74807667618741
8,2.9700534923815285,3.1606374115962392
9,3.200160113806292,3.5081571019373072
10,3.3280270454976337,3.8009886309870367
11,3.555007882378323,4.14214186004521
12,3.704577119441958,4.422949980954028
13,3.9169528322141276,4.648809454266123
14,4.196156188535355,4.926316624871483
15,4.386705247422592,5.296029149432474
16,4.557133744766501,5.527352953089315
17,4.842613063631314,5.8151487367601105
18,5.129162800454061,6.012942099247692
19,5.362376531176521,6.219916041094342
20,5.572564282961398,6.52529289314172
21,5.727060234167612,6.80269757324628
22,5.831957016824236,7.0994633785267975
23,6.001664871052566,7.327019850834451
24,6.1537532774850625,7.566413275399742
25,6.248713032422801,7.723834029135001
26,6.40296850618564,7.9454742002438845
27,6.487114480188209,8.181936677262218
28,6.65035333675704,8.435583141768763
29,6.835032900273316,8.632395514098103
30,7.05811022388597,8.853451143694059
31,7.360488692022395,9.03877460426721
32,7.554036075579523,9.361801388018385
33,7.7878835751742015,9.545104200803602
34,7.877200192435991,9.776956060224707
35,8.128036369279382,9.919269016965487
36,8.209300043348405,10.141378585683388
37,8.344260603506454,10.37483028213802
38,8.508020465495651,10.59285412736177
39,8.663686858201345,10.758302269488231
40,8.734695723513491,10.890349653818362
41,8.915975828277038,11.197875344795461
42,9.088909846131124,11.460396484212957
43,9.311724155931659,11.629235736840432
44,9.52201621356146,11.989527720991127
45,9.622809415728096,12.151374545719513
46,9.777631124873258,12.306860354465925
47,9.970262753321627,12.571285549624848
48,10.132099072817756,12.725439284776726
49,10.184853471252053,12.926216656889816
50,10.367655822019263,13.165231487481808
51,10.44771913574855,13.41569234697666
52,10.685816218755372,13.712700357899468
53,10.84068017683536,13.832709654289237
54,10.949061313834527,13.998251911971414
55,11.112741282177641,14.141947634150819
56,11.229102256195242,14.350036003691006
57,11.446623646456384,14.59096937224616
58,11.56558819140706,14.708710579722808
59,11.681980753515301,14.883344371857078
