Time(Iteration),EpsilonGreedyLinearBandit,EpsilonGreedyMultiArmedBandit
0,0.30285187102319444,0.5325475377047845
1,0.5850943613720775,0.9920391208622034
2,1.0287975870067634,1.4613883615122363
3,1.4613478728050366,1.8085188067767899
4,1.8310723961805397,2.145724103005247
5,2.1048328190222785,2.429376237184262
6,2.462338842239113,2.6803477079818316
7,2.6937216862495816,2.9478590605092454
8,2.9278294842686607,3.1834588437119815
9,3.236462705419185,3.460943340666339
10,3.525227439507997,3.7263922415361868
11,3.869389845077243,3.921382078499318
12,4.179114295915475,4.234171116804832
13,4.520799259302036,4.400092827230293
14,4.814351154232625,4.6741498084110145
15,5.202702575693609,4.995674348960476
16,5.408616034062527,5.313705867557442
17,5.652889117620092,5.52326574802384
18,5.932301125538523,5.760707230509086
19,6.250825132440506,6.006377514534736
20,6.415022351366181,6.333203632816768
21,6.5921757811573105,6.541220899523826
22,6.736068689312482,6.7035747835269515
23,7.053749939620976,6.82201289754024
24,7.343341174541907,7.055814177135351
25,7.6707274565307015,7.191497064656213
26,7.853303036564367,7.417268557127629
27,8.093962541198323,7.5676433377867
28,8.543371735554851,7.700875615959143
29,8.82578370846066,7.932850212367464
30,8.97178784193809,8.111894282344254
31,9.109583841142966,8.348564927093388
32,9.346452686930014,8.63666433221924
33,9.60780544004382,8.843031106618021
34,9.741991376669448,9.154582720225447
35,9.993274356803145,9.410565967891902
36,10.189950576364033,9.603648657517072
37,10.353958543619587,9.78536015855314
38,10.539264405677342,10.05235356605836
39,10.725243561594338,10.208409424335514
40,10.940728809681655,10.431602441131243
41,11.294471454349415,10.664685859179803
42,11.470696162508068,10.83555072143177
43,11.689148110993887,11.051771280186292
44,11.978417818698276,11.362069637085135
45,12.217219002757233,11.532355099666006
46,12.471663929644416,11.661824459336149
47,12.692059084081322,11.850626924568074
48,12.853716178451865,12.026579798421
49,13.104250235210577,12.116694598284441
50,13.337810387250363,12.406305642702518
51,13.561990975826607,12.538721399412362
52,13.72740952039286,12.664211615800454
53,13.862604449294318,12.90650156648824
54,13.964886338882796,13.055297337894604
55,14.128459962134897,13.190002367067631
56,14.285816056403164,13.467984881862503
57,14.537440526853263,13.583006321844199
58,14.66629308225429,13.770523683159485
59,14.795145637655319,13.99113638266608
60,14.95342105042728,14.18726735014808
61,15.055702940015758,14.329472248583164
62,15.22693314681276,14.57544161136666
63,15.65322428455429,14.687088030811049
64,15.822922973654542,14.856651359747142
65,16.01926722669929,15.04302034964778
66,16.23358029959,15.262131797459139
67,16.438891585444043,15.365684688147434
68,16.609865700957656,15.448191789125968
69,16.889391797027905,15.615040256784742
70,17.11489066145403,15.756480727566558
71,17.29326633458482,15.956532660671794
72,17.469459654914264,16.102918276711854
73,17.648610514789006,16.183788324432392
74,17.78633725057926,16.2970223210983
75,18.008389192482404,16.57384637231825
76,18.11067108207088,16.75018127300376
77,18.273238275584497,16.871191667587244
78,18.406568350164477,17.132859937666765
79,18.589941553293734,17.23642781462324
80,18.911517844054252,17.36746341305089
81,19.05752018238782,17.486335419371436
82,19.241338987160894,17.60948370584713
83,19.413209844222244,17.78929551934432
84,19.619702968074485,17.919843615648848
85,19.77874705173235,18.09472758465549
86,19.950495337619042,18.25273101164926
87,20.147078579811147,18.437357800467858
88,20.321993217536896,18.59792991165854
89,20.424275107125375,18.705257097776432
90,20.603965574194778,18.863926767123598
91,20.71860920332547,19.015019015104436
92,20.97417816640057,19.099410250844947
93,21.181955237243024,19.26313300305278
94,21.3604227098057,19.420748237493594
95,21.522521195319136,19.58468339149838
96,21.676795139372285,19.6536796317575
97,21.979337097920542,19.81257883856781
98,22.07608848547262,19.928666538773623
99,22.232841411703664,20.02281340437466
100,22.361224503885083,20.126874107078912
101,22.534361609954484,20.268892243469946
102,22.6712341752529,20.43008743119467
103,22.924804377192444,20.61024525211281
104,23.15544679097782,20.75907162891743
105,23.278519328887022,21.008352325201308
106,23.36605898835332,21.16845193023568
107,23.44806814578322,21.3239378432445
108,23.57866849871491,21.47248756915568
109,23.705607787813758,21.6657653728139
110,23.78386915886326,21.777903111293604
111,23.891148160612595,21.922554129388192
112,24.012903161179185,22.07503764448802
113,24.132194350186367,22.29341394118238
114,24.197162114216702,22.437568252413147
115,24.32808825695956,22.526237313228922
116,24.442514504515163,22.577979515763772
117,24.55424630274754,22.70302000403279
118,24.64892422742077,22.92431122811663
119,24.8056798718219,23.106708343852567
120,24.96246890756219,23.20396187071072
121,25.09887272530505,23.382162247223626
122,25.227320005531208,23.489995057301545
123,25.42935076094656,23.568537228356952
124,25.660704120974977,23.76162257433899
125,25.773006305940026,23.949333586258078
126,25.870599979034544,24.217558543157704
127,26.08094099441949,24.321984273326073
128,26.135254024275923,24.406420063088987
129,26.189567054132358,24.59555003779799
130,26.32401592564461,24.688862964966113
131,26.490854170178597,24.796039578740803
132,26.71586577691175,24.898352759511393
133,26.839655313326215,25.10425062046116
134,26.990667321085937,25.220097167692156
135,27.033583115876286,25.42645235908042
136,27.11803560452442,25.51083098401013
137,27.209246921035838,25.56257318654498
138,27.299927587402188,25.66018472644971
139,27.422145650809398,25.73849759479711
140,27.50101491772846,25.790239797331957
141,27.66886259667258,25.877426846068573
142,27.885299910262766,26.042046878002026
143,27.975572342434937,26.138931661325877
144,28.098309713308133,26.34745936339707
145,28.18958124737359,26.431914641156215
146,28.333666939112057,26.48365684369106
147,28.376582733902403,26.627068868722745
148,28.462624842253604,26.84790702487812
149,28.647497228353462,26.899649227412965
150,28.72379782792054,27.07146051997101
151,28.83934637084816,27.12320272250586
152,28.896689035519266,27.22633508078411
153,28.98898000887858,27.42336534972862
154,29.03189580366893,27.512001670066724
155,29.21162375606251,27.637069206945636
156,29.26541306022757,27.707134167857088
157,29.33672497205319,27.84652843599191
158,29.37964076684354,28.035181220599146
159,29.489973361145665,28.137626962600933
160,29.535049448618945,28.286874278635327
161,29.577965243409295,28.45222020900482
162,29.710074518232336,28.53812054300318
163,29.811138037848462,28.682147696459445
164,29.88803711473357,28.82826115640462
165,30.001060322081788,28.893893366573913
166,30.043976116872138,29.043651401182377
167,30.235836850606695,29.132790984265633
