Time(Iteration),EpsilonGreedyLinearBanditTheta
0,0.962633618328114
1,0.9384084009600887
2,0.9351511169452307
3,0.9282479809027848
4,0.9275628637581244
5,0.9259672165020374
6,0.9238730362910156
7,0.9217761240567915
8,0.9187371601571034
9,0.9027135757291104
10,0.8957808236862945
11,0.8952651074800111
12,0.8963188503105947
13,0.874887472382668
14,0.86739596553384
15,0.8628314631418696
16,0.8518514874550925
17,0.8517031136850312
18,0.8388848524560453
19,0.8301847303817487
20,0.8293612269783569
21,0.8285309679471746
22,0.8248108277913498
23,0.8178672445715837
24,0.8169441875626389
25,0.8075829251972495
26,0.8055512780554157
27,0.8046079498394464
28,0.7841835895067615
29,0.781778410922393
30,0.7814894228553774
31,0.7804429020516872
32,0.7722514200447272
33,0.7670894000848448
34,0.7654673278319343
35,0.7600492929497845
36,0.7602938237020527
37,0.7602080656499477
38,0.7600307329395581
39,0.7550746057588897
40,0.7546776294855126
41,0.7485410263381478
42,0.7462623979576074
43,0.7430181019054197
44,0.7437131822416067
45,0.7394364187828522
46,0.7361958202286629
47,0.7359747794117434
48,0.7355260825391039
49,0.7356383804101607
50,0.7318350074644224
51,0.7234607913522834
52,0.7214149055079165
53,0.7213926084656526
54,0.7215577120327904
55,0.7213707278360685
56,0.7210171190484074
57,0.7155350105783609
58,0.7155220579540544
59,0.7150297363107393
60,0.7158632120003444
61,0.7157639845143748
62,0.7148890357472273
63,0.7082744539206951
64,0.7056483267373431
65,0.7055526277176966
66,0.7057727864333089
67,0.7059170277288019
68,0.7044540039675169
69,0.7063415529601105
70,0.706805114185613
71,0.705227758617251
72,0.7051086870097132
73,0.701779057328502
74,0.7020125075774283
75,0.694951571677391
76,0.6949350863423858
77,0.6949305716942688
78,0.6951701951883963
79,0.6943043867857043
80,0.68988305395185
81,0.6885345537469594
82,0.6872901544156983
83,0.6883792158269715
84,0.6902675509786248
85,0.688381645347549
86,0.6806509239866629
87,0.6775907636889958
88,0.6776986226255677
89,0.677676677926698
90,0.6778616965706195
91,0.6745970663552813
92,0.6708232331244075
93,0.6656220579386158
94,0.6634480513149492
95,0.6630184015057589
96,0.6611013465037887
97,0.6615295655957374
98,0.661535832260255
99,0.6611398287030902
100,0.660802335186631
101,0.660484970799365
102,0.6600984504471772
103,0.6557499011003256
104,0.6557503824006069
105,0.6544357718123781
106,0.6482110703295081
107,0.648241642954355
108,0.6321773974332329
109,0.6310185098594114
110,0.6310365229798527
111,0.6170352972351276
112,0.6125024637670393
113,0.6114989207267518
114,0.5951659754965353
115,0.595813168337482
116,0.5968826028842531
117,0.5971245686055162
118,0.5964085910276071
119,0.5923248868270043
120,0.5926103131525305
121,0.5925276862111905
122,0.592378837617501
123,0.5861312107834877
124,0.5856790889407227
125,0.5855120609205865
126,0.5842811201145186
127,0.5826175866992925
128,0.5825733076723886
129,0.5825877927688347
130,0.5798380769232909
131,0.5771748234903132
132,0.5718416710188959
133,0.5719156420960165
